,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"lag_coefs[-2, Real_price_oil, glob_eco_act]",-0.001,0.101,-0.201,0.182,0.001,0.003,5188.0,1392.0,1.0
"lag_coefs[-2, Real_price_oil, usdinr]",-0.02,0.098,-0.198,0.163,0.001,0.002,4926.0,1498.0,1.0
"lag_coefs[-2, Real_price_oil, wui]",-0.025,0.063,-0.143,0.093,0.001,0.001,4441.0,1526.0,1.0
"lag_coefs[-2, Real_price_oil, india_gdp]",0.04,0.1,-0.137,0.229,0.001,0.002,4528.0,1397.0,1.0
"lag_coefs[-2, glob_eco_act, World_oil_prod]",0.016,0.073,-0.112,0.16,0.001,0.002,2685.0,1071.0,1.0
"lag_coefs[-2, glob_eco_act, Real_price_oil]",-0.003,0.01,-0.021,0.015,0.0,0.0,3080.0,1619.0,1.0
"lag_coefs[-2, glob_eco_act, glob_eco_act]",0.115,0.087,-0.042,0.281,0.001,0.001,3634.0,1373.0,1.0
"lag_coefs[-2, glob_eco_act, usdinr]",0.063,0.065,-0.056,0.188,0.001,0.001,1916.0,1618.0,1.0
"lag_coefs[-2, glob_eco_act, wui]",-0.0,0.005,-0.011,0.009,0.0,0.0,2736.0,1299.0,1.0
"lag_coefs[-2, glob_eco_act, india_gdp]",0.082,0.055,-0.027,0.183,0.001,0.001,1989.0,1612.0,1.0
"lag_coefs[-2, usdinr, World_oil_prod]",-0.006,0.098,-0.171,0.187,0.001,0.002,4313.0,1493.0,1.0
"lag_coefs[-2, usdinr, Real_price_oil]",0.031,0.027,-0.021,0.08,0.0,0.0,3281.0,1789.0,1.0
"lag_coefs[-2, usdinr, glob_eco_act]",0.001,0.096,-0.177,0.181,0.001,0.002,4807.0,1390.0,1.0
"lag_coefs[-2, usdinr, usdinr]",0.047,0.087,-0.115,0.205,0.001,0.002,3898.0,1291.0,1.0
"lag_coefs[-2, usdinr, wui]",-0.004,0.015,-0.032,0.024,0.0,0.0,3177.0,1641.0,1.0
"lag_coefs[-2, usdinr, india_gdp]",-0.048,0.083,-0.194,0.117,0.001,0.002,3390.0,1461.0,1.0
"lag_coefs[-2, wui, World_oil_prod]",-0.006,0.101,-0.191,0.184,0.002,0.002,3476.0,1611.0,1.0
"lag_coefs[-2, wui, Real_price_oil]",0.01,0.093,-0.172,0.169,0.001,0.002,4966.0,1423.0,1.0
"lag_coefs[-2, wui, glob_eco_act]",0.001,0.099,-0.176,0.197,0.002,0.003,4390.0,1413.0,1.0
"lag_coefs[-2, wui, usdinr]",0.01,0.097,-0.17,0.188,0.001,0.002,5017.0,1529.0,1.0
"lag_coefs[-2, wui, wui]",-0.041,0.079,-0.187,0.11,0.001,0.002,3982.0,1467.0,1.0
"lag_coefs[-2, wui, india_gdp]",-0.015,0.101,-0.213,0.177,0.001,0.003,5609.0,1326.0,1.0
"lag_coefs[-2, india_gdp, World_oil_prod]",0.018,0.1,-0.166,0.206,0.001,0.003,5545.0,1274.0,1.0
"lag_coefs[-2, india_gdp, Real_price_oil]",-0.053,0.034,-0.116,0.012,0.001,0.001,2982.0,1377.0,1.0
"lag_coefs[-2, india_gdp, glob_eco_act]",0.003,0.097,-0.178,0.181,0.001,0.003,5574.0,1424.0,1.0
"lag_coefs[-2, india_gdp, usdinr]",-0.043,0.089,-0.204,0.128,0.001,0.002,4188.0,1202.0,1.0
"lag_coefs[-2, india_gdp, wui]",0.006,0.019,-0.037,0.038,0.0,0.0,2536.0,1657.0,1.0
"lag_coefs[-2, india_gdp, india_gdp]",0.089,0.088,-0.082,0.249,0.001,0.002,3894.0,1288.0,1.0
"lag_coefs[-3, World_oil_prod, World_oil_prod]",0.06,0.075,-0.078,0.205,0.001,0.001,3506.0,1445.0,1.0
"lag_coefs[-3, World_oil_prod, Real_price_oil]",-0.001,0.012,-0.022,0.023,0.0,0.0,3700.0,1644.0,1.0
"lag_coefs[-3, World_oil_prod, glob_eco_act]",0.002,0.091,-0.182,0.16,0.001,0.002,4163.0,1400.0,1.0
"lag_coefs[-3, World_oil_prod, usdinr]",0.004,0.066,-0.128,0.127,0.001,0.001,2942.0,1760.0,1.0
"lag_coefs[-3, World_oil_prod, wui]",-0.005,0.007,-0.018,0.008,0.0,0.0,2644.0,1680.0,1.0
"lag_coefs[-3, World_oil_prod, india_gdp]",0.013,0.058,-0.092,0.122,0.001,0.001,2902.0,2005.0,1.0
"lag_coefs[-3, Real_price_oil, World_oil_prod]",-0.006,0.103,-0.197,0.191,0.002,0.003,3020.0,1238.0,1.0
"lag_coefs[-3, Real_price_oil, Real_price_oil]",-0.043,0.079,-0.187,0.106,0.001,0.002,4199.0,1497.0,1.0
"lag_coefs[-3, Real_price_oil, glob_eco_act]",-0.005,0.102,-0.218,0.178,0.001,0.003,4934.0,1359.0,1.0
"lag_coefs[-3, Real_price_oil, usdinr]",0.004,0.094,-0.166,0.182,0.002,0.002,3657.0,1539.0,1.0
"lag_coefs[-3, Real_price_oil, wui]",0.005,0.062,-0.118,0.116,0.001,0.002,4384.0,1273.0,1.0
"lag_coefs[-3, Real_price_oil, india_gdp]",0.001,0.1,-0.203,0.182,0.001,0.003,6602.0,1472.0,1.0
"lag_coefs[-3, glob_eco_act, World_oil_prod]",0.012,0.07,-0.115,0.143,0.001,0.002,4441.0,1332.0,1.0
"lag_coefs[-3, glob_eco_act, Real_price_oil]",0.001,0.01,-0.019,0.019,0.0,0.0,4258.0,1483.0,1.0
"lag_coefs[-3, glob_eco_act, glob_eco_act]",0.034,0.089,-0.131,0.197,0.001,0.002,4244.0,1641.0,1.0
"lag_coefs[-3, glob_eco_act, usdinr]",0.073,0.06,-0.044,0.178,0.001,0.001,2449.0,1751.0,1.0
"lag_coefs[-3, glob_eco_act, wui]",-0.001,0.005,-0.011,0.009,0.0,0.0,2481.0,1302.0,1.0
"lag_coefs[-3, glob_eco_act, india_gdp]",0.036,0.053,-0.06,0.133,0.001,0.001,2173.0,1673.0,1.0
"lag_coefs[-3, usdinr, World_oil_prod]",0.006,0.094,-0.159,0.194,0.001,0.003,4733.0,1164.0,1.0
"lag_coefs[-3, usdinr, Real_price_oil]",-0.009,0.027,-0.058,0.042,0.0,0.001,3764.0,1829.0,1.0
"lag_coefs[-3, usdinr, glob_eco_act]",0.008,0.097,-0.18,0.183,0.001,0.002,5058.0,1665.0,1.0
"lag_coefs[-3, usdinr, usdinr]",-0.003,0.088,-0.18,0.156,0.001,0.002,3484.0,1545.0,1.0
"lag_coefs[-3, usdinr, wui]",-0.001,0.016,-0.03,0.029,0.0,0.0,3205.0,1571.0,1.0
"lag_coefs[-3, usdinr, india_gdp]",-0.009,0.08,-0.164,0.138,0.001,0.002,3583.0,1662.0,1.0
"lag_coefs[-3, wui, World_oil_prod]",-0.001,0.103,-0.189,0.19,0.002,0.003,4712.0,1372.0,1.0
"lag_coefs[-3, wui, Real_price_oil]",0.011,0.091,-0.151,0.187,0.001,0.002,5111.0,1660.0,1.0
"lag_coefs[-3, wui, glob_eco_act]",-0.003,0.102,-0.194,0.189,0.002,0.003,4517.0,1268.0,1.0
"lag_coefs[-3, wui, usdinr]",-0.0,0.101,-0.204,0.168,0.001,0.003,5065.0,1366.0,1.0
"lag_coefs[-3, wui, wui]",-0.024,0.081,-0.168,0.134,0.001,0.002,4705.0,1550.0,1.0
"lag_coefs[-3, wui, india_gdp]",0.001,0.101,-0.181,0.197,0.001,0.003,5251.0,1465.0,1.0
