,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"lag_coefs[-3, World_oil_prod, wui]",-0.004,0.008,-0.02,0.011,0.0,0.0,3119.0,1605.0,1.0
"lag_coefs[-3, World_oil_prod, china_gdp]",0.013,0.039,-0.06,0.083,0.001,0.001,1274.0,1283.0,1.0
"lag_coefs[-3, World_oil_prod, india_gdp]",0.009,0.064,-0.114,0.124,0.001,0.001,3570.0,1826.0,1.0
"lag_coefs[-3, World_oil_prod, japan_gdp]",0.004,0.066,-0.108,0.14,0.001,0.001,2980.0,1307.0,1.0
"lag_coefs[-3, Real_price_oil, World_oil_prod]",-0.004,0.1,-0.185,0.198,0.002,0.003,4182.0,1433.0,1.0
"lag_coefs[-3, Real_price_oil, Real_price_oil]",-0.048,0.078,-0.198,0.095,0.001,0.001,4395.0,1474.0,1.0
"lag_coefs[-3, Real_price_oil, glob_eco_act]",-0.003,0.101,-0.188,0.195,0.001,0.003,4762.0,1270.0,1.0
"lag_coefs[-3, Real_price_oil, usdinr]",0.005,0.096,-0.177,0.179,0.001,0.003,5505.0,1339.0,1.0
"lag_coefs[-3, Real_price_oil, usdyen]",-0.001,0.094,-0.177,0.169,0.001,0.002,4150.0,1513.0,1.0
"lag_coefs[-3, Real_price_oil, usdyuan]",0.005,0.102,-0.183,0.188,0.002,0.003,4511.0,1448.0,1.0
"lag_coefs[-3, Real_price_oil, wui]",0.008,0.062,-0.111,0.122,0.001,0.002,4439.0,1444.0,1.0
"lag_coefs[-3, Real_price_oil, china_gdp]",0.058,0.09,-0.101,0.23,0.001,0.002,4357.0,1418.0,1.0
"lag_coefs[-3, Real_price_oil, india_gdp]",0.001,0.099,-0.182,0.191,0.001,0.003,4908.0,1482.0,1.0
"lag_coefs[-3, Real_price_oil, japan_gdp]",0.009,0.098,-0.179,0.191,0.001,0.003,4978.0,1413.0,1.0
"lag_coefs[-3, glob_eco_act, World_oil_prod]",-0.008,0.075,-0.159,0.123,0.001,0.002,3536.0,1357.0,1.0
"lag_coefs[-3, glob_eco_act, Real_price_oil]",0.007,0.012,-0.014,0.03,0.0,0.0,2384.0,1563.0,1.0
"lag_coefs[-3, glob_eco_act, glob_eco_act]",-0.0,0.088,-0.167,0.165,0.002,0.002,3232.0,1415.0,1.0
"lag_coefs[-3, glob_eco_act, usdinr]",0.086,0.064,-0.036,0.2,0.001,0.001,2688.0,1756.0,1.0
"lag_coefs[-3, glob_eco_act, usdyen]",0.063,0.066,-0.059,0.19,0.001,0.001,2598.0,1466.0,1.0
"lag_coefs[-3, glob_eco_act, usdyuan]",0.042,0.095,-0.128,0.225,0.002,0.002,3298.0,1488.0,1.0
"lag_coefs[-3, glob_eco_act, wui]",-0.002,0.006,-0.012,0.008,0.0,0.0,2691.0,1556.0,1.0
"lag_coefs[-3, glob_eco_act, china_gdp]",-0.038,0.034,-0.105,0.023,0.001,0.001,1061.0,1313.0,1.0
"lag_coefs[-3, glob_eco_act, india_gdp]",0.029,0.055,-0.076,0.128,0.001,0.001,2579.0,1349.0,1.0
"lag_coefs[-3, glob_eco_act, japan_gdp]",-0.014,0.059,-0.133,0.091,0.001,0.001,2167.0,1223.0,1.0
"lag_coefs[-3, usdinr, World_oil_prod]",0.011,0.097,-0.169,0.192,0.001,0.002,4782.0,1580.0,1.0
"lag_coefs[-3, usdinr, Real_price_oil]",0.009,0.029,-0.046,0.064,0.0,0.001,3735.0,1360.0,1.0
"lag_coefs[-3, usdinr, glob_eco_act]",-0.0,0.101,-0.218,0.165,0.002,0.002,3590.0,1495.0,1.0
"lag_coefs[-3, usdinr, usdinr]",-0.005,0.087,-0.171,0.157,0.001,0.002,4208.0,1695.0,1.0
"lag_coefs[-3, usdinr, usdyen]",-0.049,0.086,-0.215,0.107,0.001,0.002,3695.0,1399.0,1.0
"lag_coefs[-3, usdinr, usdyuan]",-0.036,0.101,-0.216,0.156,0.002,0.002,4193.0,1305.0,1.0
"lag_coefs[-3, usdinr, wui]",0.001,0.015,-0.027,0.031,0.0,0.0,2673.0,1474.0,1.0
"lag_coefs[-3, usdinr, china_gdp]",0.01,0.054,-0.096,0.108,0.001,0.001,2218.0,1740.0,1.0
"lag_coefs[-3, usdinr, india_gdp]",-0.018,0.082,-0.176,0.132,0.001,0.002,4071.0,1664.0,1.0
"lag_coefs[-3, usdinr, japan_gdp]",0.014,0.076,-0.131,0.154,0.001,0.002,3764.0,1596.0,1.0
"lag_coefs[-3, usdyen, World_oil_prod]",-0.007,0.096,-0.183,0.177,0.001,0.002,4963.0,1454.0,1.0
"lag_coefs[-3, usdyen, Real_price_oil]",-0.017,0.038,-0.089,0.054,0.001,0.001,3356.0,1455.0,1.0
"lag_coefs[-3, usdyen, glob_eco_act]",0.016,0.095,-0.161,0.197,0.001,0.002,5017.0,1484.0,1.0
"lag_coefs[-3, usdyen, usdinr]",0.033,0.094,-0.141,0.204,0.001,0.002,3909.0,1437.0,1.01
"lag_coefs[-3, usdyen, usdyen]",0.046,0.088,-0.12,0.204,0.001,0.002,4025.0,1608.0,1.0
"lag_coefs[-3, usdyen, usdyuan]",0.023,0.1,-0.168,0.202,0.002,0.003,3954.0,1240.0,1.0
"lag_coefs[-3, usdyen, wui]",-0.001,0.021,-0.042,0.036,0.0,0.001,3473.0,1553.0,1.0
"lag_coefs[-3, usdyen, china_gdp]",-0.03,0.061,-0.151,0.082,0.001,0.001,2263.0,1456.0,1.0
"lag_coefs[-3, usdyen, india_gdp]",-0.034,0.082,-0.199,0.113,0.001,0.002,3759.0,1489.0,1.0
"lag_coefs[-3, usdyen, japan_gdp]",-0.021,0.084,-0.163,0.147,0.001,0.002,3764.0,1508.0,1.0
"lag_coefs[-3, usdyuan, World_oil_prod]",0.045,0.068,-0.081,0.171,0.001,0.001,3760.0,1794.0,1.0
"lag_coefs[-3, usdyuan, Real_price_oil]",0.001,0.01,-0.018,0.02,0.0,0.0,2707.0,1456.0,1.0
"lag_coefs[-3, usdyuan, glob_eco_act]",-0.022,0.087,-0.187,0.143,0.001,0.002,3716.0,1657.0,1.0
"lag_coefs[-3, usdyuan, usdinr]",0.06,0.06,-0.056,0.17,0.001,0.001,2736.0,1273.0,1.0
"lag_coefs[-3, usdyuan, usdyen]",0.023,0.062,-0.102,0.129,0.001,0.001,2595.0,1504.0,1.0
"lag_coefs[-3, usdyuan, usdyuan]",0.059,0.091,-0.116,0.222,0.002,0.002,3016.0,1554.0,1.0
"lag_coefs[-3, usdyuan, wui]",-0.002,0.005,-0.01,0.008,0.0,0.0,3005.0,1842.0,1.0
"lag_coefs[-3, usdyuan, china_gdp]",-0.073,0.031,-0.13,-0.016,0.001,0.001,1148.0,1391.0,1.0
"lag_coefs[-3, usdyuan, india_gdp]",-0.038,0.051,-0.133,0.061,0.001,0.001,2695.0,1477.0,1.0
"lag_coefs[-3, usdyuan, japan_gdp]",0.019,0.057,-0.082,0.13,0.001,0.001,2525.0,1439.0,1.0
"lag_coefs[-3, wui, World_oil_prod]",-0.001,0.097,-0.195,0.164,0.002,0.002,3986.0,1357.0,1.0
"lag_coefs[-3, wui, Real_price_oil]",0.012,0.093,-0.161,0.185,0.001,0.002,4662.0,1275.0,1.0
"lag_coefs[-3, wui, glob_eco_act]",-0.001,0.104,-0.185,0.21,0.001,0.003,4814.0,1150.0,1.0
"lag_coefs[-3, wui, usdinr]",0.0,0.101,-0.181,0.195,0.001,0.002,4594.0,1436.0,1.0
"lag_coefs[-3, wui, usdyen]",-0.005,0.099,-0.194,0.178,0.001,0.002,4418.0,1391.0,1.0
"lag_coefs[-3, wui, usdyuan]",-0.003,0.101,-0.181,0.193,0.002,0.003,3918.0,1432.0,1.0
"lag_coefs[-3, wui, wui]",-0.023,0.079,-0.177,0.123,0.001,0.002,3316.0,1455.0,1.0
"lag_coefs[-3, wui, china_gdp]",0.033,0.099,-0.142,0.237,0.001,0.002,5179.0,1388.0,1.0
"lag_coefs[-3, wui, india_gdp]",0.001,0.104,-0.18,0.206,0.002,0.003,3913.0,1471.0,1.01
"lag_coefs[-3, wui, japan_gdp]",0.005,0.095,-0.173,0.182,0.001,0.002,4092.0,1449.0,1.0
"lag_coefs[-3, china_gdp, World_oil_prod]",0.022,0.093,-0.146,0.194,0.001,0.002,5373.0,1398.0,1.0
"lag_coefs[-3, china_gdp, Real_price_oil]",-0.001,0.022,-0.041,0.041,0.0,0.0,3115.0,1662.0,1.0
"lag_coefs[-3, china_gdp, glob_eco_act]",-0.007,0.1,-0.202,0.166,0.002,0.002,4116.0,1580.0,1.0
"lag_coefs[-3, china_gdp, usdinr]",-0.082,0.082,-0.236,0.071,0.001,0.001,3196.0,1583.0,1.0
"lag_coefs[-3, china_gdp, usdyen]",-0.018,0.08,-0.172,0.13,0.001,0.002,3567.0,1451.0,1.0
"lag_coefs[-3, china_gdp, usdyuan]",-0.039,0.098,-0.232,0.138,0.002,0.002,3480.0,1131.0,1.0
"lag_coefs[-3, china_gdp, wui]",-0.006,0.011,-0.027,0.014,0.0,0.0,2845.0,1443.0,1.0
"lag_coefs[-3, china_gdp, china_gdp]",-0.158,0.047,-0.245,-0.068,0.001,0.001,1815.0,1786.0,1.0
"lag_coefs[-3, china_gdp, india_gdp]",0.046,0.074,-0.09,0.186,0.001,0.001,3726.0,1447.0,1.0
"lag_coefs[-3, china_gdp, japan_gdp]",-0.007,0.07,-0.134,0.124,0.001,0.001,2837.0,1534.0,1.0
"lag_coefs[-3, india_gdp, World_oil_prod]",0.018,0.098,-0.158,0.203,0.001,0.002,5256.0,1225.0,1.0
"lag_coefs[-3, india_gdp, Real_price_oil]",-0.016,0.036,-0.087,0.047,0.001,0.001,2727.0,1601.0,1.0
"lag_coefs[-3, india_gdp, glob_eco_act]",-0.01,0.096,-0.193,0.159,0.001,0.002,4285.0,1795.0,1.0
"lag_coefs[-3, india_gdp, usdinr]",0.027,0.09,-0.133,0.195,0.001,0.002,4494.0,1547.0,1.0
"lag_coefs[-3, india_gdp, usdyen]",0.046,0.087,-0.12,0.207,0.002,0.002,3363.0,1646.0,1.0
"lag_coefs[-3, india_gdp, usdyuan]",0.02,0.096,-0.151,0.212,0.001,0.003,4748.0,1515.0,1.0
"lag_coefs[-3, india_gdp, wui]",-0.005,0.019,-0.04,0.03,0.0,0.0,2704.0,1158.0,1.0
"lag_coefs[-3, india_gdp, china_gdp]",-0.057,0.06,-0.167,0.06,0.001,0.001,1980.0,1425.0,1.0
"lag_coefs[-3, india_gdp, india_gdp]",-0.006,0.084,-0.158,0.154,0.001,0.002,4635.0,1664.0,1.0
"lag_coefs[-3, india_gdp, japan_gdp]",-0.048,0.083,-0.205,0.107,0.001,0.002,4040.0,1507.0,1.0
"lag_coefs[-3, japan_gdp, World_oil_prod]",0.008,0.102,-0.183,0.194,0.001,0.003,5029.0,1384.0,1.0
"lag_coefs[-3, japan_gdp, Real_price_oil]",0.029,0.042,-0.048,0.11,0.001,0.001,3544.0,1517.0,1.0
"lag_coefs[-3, japan_gdp, glob_eco_act]",-0.019,0.103,-0.222,0.172,0.001,0.003,5878.0,1157.0,1.0
"lag_coefs[-3, japan_gdp, usdinr]",-0.042,0.092,-0.215,0.127,0.001,0.002,4453.0,1557.0,1.0
"lag_coefs[-3, japan_gdp, usdyen]",-0.038,0.09,-0.192,0.143,0.001,0.002,4486.0,1527.0,1.0
"lag_coefs[-3, japan_gdp, usdyuan]",-0.016,0.101,-0.222,0.161,0.002,0.003,3805.0,1105.0,1.01
"lag_coefs[-3, japan_gdp, wui]",0.002,0.024,-0.044,0.043,0.0,0.001,2688.0,1408.0,1.0
"lag_coefs[-3, japan_gdp, china_gdp]",0.029,0.066,-0.086,0.156,0.001,0.001,2331.0,1443.0,1.0
"lag_coefs[-3, japan_gdp, india_gdp]",0.021,0.092,-0.139,0.206,0.002,0.002,3322.0,1336.0,1.0
"lag_coefs[-3, japan_gdp, japan_gdp]",0.022,0.092,-0.147,0.192,0.001,0.002,4243.0,1540.0,1.0
"lag_coefs[-4, World_oil_prod, World_oil_prod]",-0.007,0.085,-0.165,0.147,0.001,0.002,4333.0,1622.0,1.0
"lag_coefs[-4, World_oil_prod, Real_price_oil]",-0.012,0.016,-0.044,0.018,0.0,0.0,2704.0,1192.0,1.0
"lag_coefs[-4, World_oil_prod, glob_eco_act]",0.078,0.091,-0.085,0.253,0.001,0.002,4514.0,1176.0,1.0
"lag_coefs[-4, World_oil_prod, usdinr]",-0.028,0.068,-0.158,0.095,0.001,0.001,3386.0,1596.0,1.0
"lag_coefs[-4, World_oil_prod, usdyen]",0.021,0.064,-0.094,0.149,0.001,0.001,2438.0,1375.0,1.0
"lag_coefs[-4, World_oil_prod, usdyuan]",0.021,0.097,-0.162,0.193,0.002,0.002,3707.0,1709.0,1.0
"lag_coefs[-4, World_oil_prod, wui]",-0.001,0.007,-0.015,0.012,0.0,0.0,3310.0,1634.0,1.0
"lag_coefs[-4, World_oil_prod, china_gdp]",-0.005,0.039,-0.077,0.071,0.001,0.001,1227.0,1381.0,1.0
"lag_coefs[-4, World_oil_prod, india_gdp]",-0.019,0.062,-0.13,0.097,0.001,0.001,3321.0,1325.0,1.0
"lag_coefs[-4, World_oil_prod, japan_gdp]",-0.033,0.064,-0.154,0.084,0.001,0.001,2441.0,1682.0,1.0
"lag_coefs[-4, Real_price_oil, World_oil_prod]",0.003,0.1,-0.191,0.184,0.001,0.003,4972.0,954.0,1.0
"lag_coefs[-4, Real_price_oil, Real_price_oil]",0.037,0.079,-0.11,0.18,0.001,0.002,5002.0,1041.0,1.01
"lag_coefs[-4, Real_price_oil, glob_eco_act]",-0.004,0.099,-0.184,0.19,0.001,0.003,5185.0,1456.0,1.0
"lag_coefs[-4, Real_price_oil, usdinr]",0.004,0.099,-0.178,0.177,0.002,0.002,3745.0,1556.0,1.0
"lag_coefs[-4, Real_price_oil, usdyen]",-0.004,0.096,-0.188,0.175,0.001,0.002,4137.0,1605.0,1.0
"lag_coefs[-4, Real_price_oil, usdyuan]",0.005,0.095,-0.182,0.174,0.001,0.002,4799.0,1514.0,1.0
"lag_coefs[-4, Real_price_oil, wui]",0.034,0.062,-0.086,0.147,0.001,0.001,4069.0,1568.0,1.0
"lag_coefs[-4, Real_price_oil, china_gdp]",0.024,0.091,-0.144,0.187,0.001,0.002,4767.0,1248.0,1.0
"lag_coefs[-4, Real_price_oil, india_gdp]",-0.001,0.095,-0.177,0.175,0.001,0.002,4127.0,1665.0,1.01
"lag_coefs[-4, Real_price_oil, japan_gdp]",-0.002,0.096,-0.18,0.181,0.001,0.002,5159.0,1339.0,1.0
"lag_coefs[-4, glob_eco_act, World_oil_prod]",-0.049,0.079,-0.182,0.109,0.001,0.002,4822.0,1574.0,1.0
"lag_coefs[-4, glob_eco_act, Real_price_oil]",0.014,0.012,-0.009,0.037,0.0,0.0,2810.0,1606.0,1.0
"lag_coefs[-4, glob_eco_act, glob_eco_act]",-0.047,0.081,-0.188,0.114,0.001,0.002,4196.0,1552.0,1.0
"lag_coefs[-4, glob_eco_act, usdinr]",0.005,0.058,-0.105,0.112,0.001,0.001,3251.0,1478.0,1.0
"lag_coefs[-4, glob_eco_act, usdyen]",-0.031,0.052,-0.132,0.066,0.001,0.001,3498.0,1675.0,1.0
"lag_coefs[-4, glob_eco_act, usdyuan]",0.007,0.092,-0.165,0.181,0.002,0.002,3457.0,1567.0,1.0
"lag_coefs[-4, glob_eco_act, wui]",-0.007,0.005,-0.017,0.003,0.0,0.0,2805.0,1505.0,1.0
"lag_coefs[-4, glob_eco_act, china_gdp]",-0.038,0.034,-0.098,0.029,0.001,0.001,1108.0,1094.0,1.0
"lag_coefs[-4, glob_eco_act, india_gdp]",-0.02,0.052,-0.115,0.082,0.001,0.001,2680.0,1560.0,1.0
"lag_coefs[-4, glob_eco_act, japan_gdp]",0.001,0.054,-0.104,0.097,0.001,0.001,3328.0,1551.0,1.0
"lag_coefs[-4, usdinr, World_oil_prod]",-0.015,0.098,-0.193,0.173,0.002,0.002,3865.0,1436.0,1.0
"lag_coefs[-4, usdinr, Real_price_oil]",0.007,0.03,-0.044,0.064,0.0,0.001,3838.0,1791.0,1.0
"lag_coefs[-4, usdinr, glob_eco_act]",-0.003,0.093,-0.173,0.174,0.001,0.003,5267.0,1309.0,1.01
"lag_coefs[-4, usdinr, usdinr]",-0.081,0.089,-0.246,0.089,0.001,0.001,4087.0,1611.0,1.0
"lag_coefs[-4, usdinr, usdyen]",0.006,0.084,-0.151,0.164,0.001,0.002,3731.0,1596.0,1.0
"lag_coefs[-4, usdinr, usdyuan]",-0.003,0.099,-0.198,0.18,0.002,0.002,4291.0,1505.0,1.0
"lag_coefs[-4, usdinr, wui]",0.01,0.015,-0.016,0.038,0.0,0.0,3292.0,1665.0,1.0
"lag_coefs[-4, usdinr, china_gdp]",0.063,0.056,-0.041,0.168,0.001,0.001,2189.0,1435.0,1.0
"lag_coefs[-4, usdinr, india_gdp]",0.042,0.081,-0.114,0.189,0.001,0.002,3750.0,1454.0,1.0
"lag_coefs[-4, usdinr, japan_gdp]",-0.003,0.078,-0.144,0.148,0.001,0.002,4139.0,1605.0,1.0
"lag_coefs[-4, usdyen, World_oil_prod]",-0.001,0.099,-0.185,0.18,0.001,0.003,4495.0,1382.0,1.0
"lag_coefs[-4, usdyen, Real_price_oil]",0.038,0.036,-0.035,0.102,0.001,0.001,2938.0,1181.0,1.0
"lag_coefs[-4, usdyen, glob_eco_act]",0.011,0.097,-0.181,0.187,0.001,0.002,5142.0,1545.0,1.0
"lag_coefs[-4, usdyen, usdinr]",0.042,0.094,-0.126,0.221,0.001,0.002,4613.0,1541.0,1.0
"lag_coefs[-4, usdyen, usdyen]",0.021,0.088,-0.137,0.195,0.001,0.002,4330.0,1728.0,1.0
"lag_coefs[-4, usdyen, usdyuan]",0.007,0.1,-0.18,0.2,0.001,0.003,4952.0,1489.0,1.0
"lag_coefs[-4, usdyen, wui]",0.015,0.019,-0.021,0.05,0.0,0.0,3424.0,1339.0,1.0
"lag_coefs[-4, usdyen, china_gdp]",-0.076,0.061,-0.19,0.038,0.001,0.001,2372.0,1678.0,1.0
"lag_coefs[-4, usdyen, india_gdp]",-0.025,0.089,-0.19,0.138,0.001,0.002,4165.0,1558.0,1.0
"lag_coefs[-4, usdyen, japan_gdp]",-0.051,0.083,-0.204,0.106,0.001,0.002,4185.0,1354.0,1.0
"lag_coefs[-4, usdyuan, World_oil_prod]",-0.007,0.071,-0.138,0.124,0.001,0.002,3069.0,1586.0,1.0
"lag_coefs[-4, usdyuan, Real_price_oil]",-0.018,0.01,-0.037,0.001,0.0,0.0,2247.0,1795.0,1.0
"lag_coefs[-4, usdyuan, glob_eco_act]",-0.067,0.072,-0.199,0.067,0.001,0.001,2728.0,1620.0,1.0
"lag_coefs[-4, usdyuan, usdinr]",-0.073,0.056,-0.181,0.025,0.001,0.001,2553.0,1505.0,1.0
"lag_coefs[-4, usdyuan, usdyen]",0.032,0.049,-0.053,0.134,0.001,0.001,3738.0,1802.0,1.0
"lag_coefs[-4, usdyuan, usdyuan]",0.019,0.092,-0.153,0.188,0.002,0.002,2977.0,1311.0,1.0
"lag_coefs[-4, usdyuan, wui]",-0.008,0.005,-0.017,0.0,0.0,0.0,3087.0,1714.0,1.0
"lag_coefs[-4, usdyuan, china_gdp]",-0.079,0.031,-0.138,-0.026,0.001,0.001,1120.0,1273.0,1.0
"lag_coefs[-4, usdyuan, india_gdp]",0.023,0.048,-0.062,0.115,0.001,0.001,2775.0,1689.0,1.0
"lag_coefs[-4, usdyuan, japan_gdp]",0.043,0.05,-0.051,0.134,0.001,0.001,2403.0,1389.0,1.0
"lag_coefs[-4, wui, World_oil_prod]",-0.002,0.103,-0.196,0.184,0.001,0.003,4960.0,1444.0,1.0
"lag_coefs[-4, wui, Real_price_oil]",0.018,0.089,-0.146,0.19,0.001,0.002,4754.0,1514.0,1.01
"lag_coefs[-4, wui, glob_eco_act]",0.001,0.1,-0.19,0.187,0.001,0.003,4607.0,1233.0,1.0
"lag_coefs[-4, wui, usdinr]",-0.0,0.102,-0.186,0.194,0.002,0.003,3367.0,1060.0,1.0
"lag_coefs[-4, wui, usdyen]",-0.009,0.096,-0.185,0.17,0.002,0.002,3966.0,1539.0,1.0
"lag_coefs[-4, wui, usdyuan]",-0.002,0.103,-0.2,0.187,0.002,0.003,3432.0,1399.0,1.0
"lag_coefs[-4, wui, wui]",-0.046,0.078,-0.195,0.096,0.001,0.001,4505.0,1694.0,1.0
"lag_coefs[-4, wui, china_gdp]",-0.029,0.097,-0.212,0.141,0.001,0.002,4823.0,1440.0,1.0
"lag_coefs[-4, wui, india_gdp]",0.009,0.1,-0.163,0.202,0.001,0.003,4985.0,1081.0,1.0
"lag_coefs[-4, wui, japan_gdp]",0.004,0.097,-0.176,0.173,0.002,0.002,3747.0,1418.0,1.0
"lag_coefs[-4, china_gdp, World_oil_prod]",-0.044,0.094,-0.23,0.121,0.001,0.002,4442.0,1452.0,1.0
"lag_coefs[-4, china_gdp, Real_price_oil]",0.012,0.023,-0.028,0.056,0.0,0.0,2484.0,1620.0,1.0
"lag_coefs[-4, china_gdp, glob_eco_act]",0.02,0.094,-0.159,0.198,0.002,0.002,3772.0,1632.0,1.0
"lag_coefs[-4, china_gdp, usdinr]",0.082,0.079,-0.057,0.232,0.001,0.001,3390.0,1665.0,1.0
"lag_coefs[-4, china_gdp, usdyen]",-0.052,0.074,-0.188,0.083,0.001,0.001,3338.0,1453.0,1.0
"lag_coefs[-4, china_gdp, usdyuan]",0.017,0.094,-0.156,0.196,0.001,0.002,4084.0,1601.0,1.0
"lag_coefs[-4, china_gdp, wui]",0.004,0.011,-0.016,0.024,0.0,0.0,3320.0,1464.0,1.0
"lag_coefs[-4, china_gdp, china_gdp]",0.745,0.053,0.643,0.838,0.001,0.001,1451.0,1581.0,1.0
"lag_coefs[-4, china_gdp, india_gdp]",0.03,0.072,-0.1,0.172,0.001,0.001,3364.0,1657.0,1.0
"lag_coefs[-4, china_gdp, japan_gdp]",0.002,0.073,-0.129,0.142,0.001,0.002,3563.0,1580.0,1.0
"lag_coefs[-4, india_gdp, World_oil_prod]",-0.005,0.095,-0.192,0.166,0.001,0.002,4866.0,1475.0,1.0
"lag_coefs[-4, india_gdp, Real_price_oil]",0.005,0.036,-0.063,0.071,0.001,0.001,3915.0,1308.0,1.0
"lag_coefs[-4, india_gdp, glob_eco_act]",-0.001,0.097,-0.179,0.186,0.001,0.003,5221.0,1277.0,1.0
"lag_coefs[-4, india_gdp, usdinr]",0.033,0.095,-0.135,0.22,0.001,0.002,4979.0,1593.0,1.0
"lag_coefs[-4, india_gdp, usdyen]",-0.005,0.088,-0.165,0.158,0.001,0.002,4593.0,1578.0,1.0
"lag_coefs[-4, india_gdp, usdyuan]",0.013,0.098,-0.178,0.184,0.001,0.002,4712.0,1608.0,1.0
"lag_coefs[-4, india_gdp, wui]",-0.008,0.018,-0.043,0.025,0.0,0.0,3496.0,1700.0,1.0
"lag_coefs[-4, india_gdp, china_gdp]",-0.026,0.06,-0.13,0.09,0.001,0.001,1924.0,1497.0,1.0
"lag_coefs[-4, india_gdp, india_gdp]",-0.064,0.086,-0.223,0.095,0.001,0.002,4452.0,1452.0,1.0
"lag_coefs[-4, india_gdp, japan_gdp]",-0.008,0.087,-0.167,0.162,0.001,0.002,4739.0,1380.0,1.0
"lag_coefs[-4, japan_gdp, World_oil_prod]",0.0,0.099,-0.184,0.191,0.001,0.003,4649.0,1138.0,1.0
"lag_coefs[-4, japan_gdp, Real_price_oil]",-0.046,0.042,-0.126,0.031,0.001,0.001,4430.0,1664.0,1.0
"lag_coefs[-4, japan_gdp, glob_eco_act]",-0.012,0.102,-0.204,0.176,0.001,0.003,5209.0,1204.0,1.0
"lag_coefs[-4, japan_gdp, usdinr]",-0.031,0.093,-0.222,0.129,0.001,0.002,4248.0,1364.0,1.0
"lag_coefs[-4, japan_gdp, usdyen]",-0.019,0.092,-0.188,0.155,0.001,0.002,3762.0,1547.0,1.0
"lag_coefs[-4, japan_gdp, usdyuan]",0.005,0.1,-0.193,0.176,0.002,0.003,4437.0,1326.0,1.0
"lag_coefs[-4, japan_gdp, wui]",-0.014,0.023,-0.056,0.03,0.0,0.0,3456.0,1689.0,1.0
"lag_coefs[-4, japan_gdp, china_gdp]",0.058,0.066,-0.069,0.179,0.001,0.001,2396.0,1431.0,1.0
"lag_coefs[-4, japan_gdp, india_gdp]",0.038,0.09,-0.131,0.202,0.001,0.002,4218.0,1547.0,1.0
"lag_coefs[-4, japan_gdp, japan_gdp]",0.037,0.085,-0.128,0.19,0.001,0.002,3640.0,1247.0,1.0
noise[World_oil_prod],0.014,0.002,0.011,0.017,0.0,0.0,1321.0,1651.0,1.0
noise[Real_price_oil],0.18,0.019,0.145,0.213,0.0,0.0,3348.0,1510.0,1.0
noise[glob_eco_act],0.01,0.001,0.007,0.012,0.0,0.0,811.0,1230.0,1.0
noise[usdinr],0.031,0.004,0.024,0.038,0.0,0.0,1689.0,1656.0,1.0
noise[usdyen],0.041,0.005,0.032,0.05,0.0,0.0,1835.0,1692.0,1.0
noise[usdyuan],0.008,0.001,0.006,0.01,0.0,0.0,918.0,1364.0,1.0
noise[wui],0.322,0.034,0.265,0.388,0.001,0.0,3097.0,1447.0,1.0
noise[china_gdp],0.021,0.003,0.015,0.027,0.0,0.0,1031.0,1375.0,1.0
noise[india_gdp],0.04,0.005,0.032,0.05,0.0,0.0,2159.0,1554.0,1.0
noise[japan_gdp],0.051,0.006,0.04,0.061,0.0,0.0,1902.0,1554.0,1.0
