,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"lag_coefs[-1, usdyen, World_oil_prod]",0.023,0.095,-0.157,0.196,0.001,0.002,4717.0,1821.0,1.0
"lag_coefs[-1, usdyen, Real_price_oil]",0.005,0.037,-0.063,0.076,0.001,0.001,3763.0,1545.0,1.0
"lag_coefs[-1, usdyen, glob_eco_act]",0.018,0.098,-0.163,0.193,0.001,0.003,5810.0,1665.0,1.0
"lag_coefs[-1, usdyen, usdinr]",0.012,0.092,-0.156,0.189,0.001,0.003,4676.0,1348.0,1.0
"lag_coefs[-1, usdyen, usdyen]",0.09,0.085,-0.077,0.243,0.001,0.001,3887.0,1328.0,1.0
"lag_coefs[-1, usdyen, usdyuan]",-0.014,0.098,-0.202,0.166,0.001,0.003,4833.0,1278.0,1.0
"lag_coefs[-1, usdyen, wui]",0.028,0.019,-0.006,0.067,0.0,0.0,3651.0,1668.0,1.0
"lag_coefs[-1, usdyen, china_gdp]",-0.039,0.061,-0.147,0.077,0.001,0.001,2791.0,1786.0,1.0
"lag_coefs[-1, usdyen, india_gdp]",0.014,0.081,-0.134,0.176,0.001,0.002,4395.0,1743.0,1.0
"lag_coefs[-1, usdyen, japan_gdp]",-0.148,0.085,-0.29,0.026,0.001,0.001,4098.0,1129.0,1.0
"lag_coefs[-1, usdyuan, World_oil_prod]",0.029,0.075,-0.12,0.16,0.001,0.002,3264.0,1082.0,1.0
"lag_coefs[-1, usdyuan, Real_price_oil]",0.001,0.01,-0.019,0.018,0.0,0.0,2626.0,1484.0,1.0
"lag_coefs[-1, usdyuan, glob_eco_act]",0.013,0.085,-0.15,0.169,0.001,0.002,3327.0,1439.0,1.0
"lag_coefs[-1, usdyuan, usdinr]",-0.035,0.06,-0.145,0.079,0.001,0.001,3008.0,1574.0,1.0
"lag_coefs[-1, usdyuan, usdyen]",0.033,0.064,-0.081,0.159,0.001,0.001,2864.0,1474.0,1.0
"lag_coefs[-1, usdyuan, usdyuan]",0.101,0.089,-0.073,0.257,0.001,0.001,3727.0,1455.0,1.0
"lag_coefs[-1, usdyuan, wui]",-0.002,0.004,-0.01,0.007,0.0,0.0,2756.0,1606.0,1.0
"lag_coefs[-1, usdyuan, china_gdp]",-0.072,0.031,-0.128,-0.011,0.001,0.001,1242.0,1436.0,1.0
"lag_coefs[-1, usdyuan, india_gdp]",-0.039,0.046,-0.123,0.055,0.001,0.001,2925.0,1581.0,1.0
"lag_coefs[-1, usdyuan, japan_gdp]",0.015,0.05,-0.081,0.109,0.001,0.001,3108.0,1581.0,1.0
"lag_coefs[-1, wui, World_oil_prod]",0.006,0.102,-0.193,0.193,0.001,0.003,4698.0,1260.0,1.0
"lag_coefs[-1, wui, Real_price_oil]",-0.034,0.09,-0.199,0.137,0.001,0.002,4266.0,1578.0,1.0
"lag_coefs[-1, wui, glob_eco_act]",-0.001,0.098,-0.185,0.184,0.002,0.002,4288.0,1482.0,1.0
"lag_coefs[-1, wui, usdinr]",0.002,0.098,-0.199,0.177,0.001,0.003,4577.0,1386.0,1.0
"lag_coefs[-1, wui, usdyen]",-0.014,0.1,-0.209,0.169,0.001,0.003,5740.0,1203.0,1.0
"lag_coefs[-1, wui, usdyuan]",-0.003,0.099,-0.176,0.188,0.001,0.003,4983.0,1458.0,1.0
"lag_coefs[-1, wui, wui]",-0.102,0.081,-0.26,0.043,0.001,0.001,4702.0,1452.0,1.0
"lag_coefs[-1, wui, china_gdp]",0.013,0.096,-0.172,0.175,0.001,0.002,4814.0,1593.0,1.0
"lag_coefs[-1, wui, india_gdp]",0.003,0.098,-0.184,0.181,0.002,0.003,4048.0,1391.0,1.0
"lag_coefs[-1, wui, japan_gdp]",0.012,0.1,-0.164,0.202,0.001,0.003,4434.0,1405.0,1.0
"lag_coefs[-1, china_gdp, World_oil_prod]",-0.038,0.091,-0.207,0.133,0.001,0.002,4621.0,1356.0,1.0
"lag_coefs[-1, china_gdp, Real_price_oil]",0.049,0.022,0.008,0.09,0.0,0.0,2793.0,1517.0,1.0
"lag_coefs[-1, china_gdp, glob_eco_act]",0.006,0.093,-0.165,0.18,0.001,0.002,4936.0,1482.0,1.0
"lag_coefs[-1, china_gdp, usdinr]",-0.077,0.074,-0.209,0.061,0.001,0.001,3517.0,1719.0,1.0
"lag_coefs[-1, china_gdp, usdyen]",0.027,0.078,-0.121,0.173,0.001,0.002,3174.0,1268.0,1.0
"lag_coefs[-1, china_gdp, usdyuan]",-0.042,0.099,-0.23,0.136,0.002,0.002,4022.0,1512.0,1.0
"lag_coefs[-1, china_gdp, wui]",0.008,0.01,-0.011,0.027,0.0,0.0,2980.0,1526.0,1.0
"lag_coefs[-1, china_gdp, china_gdp]",-0.171,0.048,-0.267,-0.086,0.001,0.001,1776.0,1581.0,1.0
"lag_coefs[-1, china_gdp, india_gdp]",0.103,0.074,-0.029,0.242,0.001,0.001,2852.0,1609.0,1.0
"lag_coefs[-1, china_gdp, japan_gdp]",0.014,0.071,-0.114,0.147,0.001,0.002,3272.0,1210.0,1.0
"lag_coefs[-1, india_gdp, World_oil_prod]",-0.015,0.098,-0.198,0.155,0.001,0.002,5015.0,1532.0,1.0
"lag_coefs[-1, india_gdp, Real_price_oil]",0.009,0.033,-0.052,0.069,0.001,0.001,3880.0,1551.0,1.0
"lag_coefs[-1, india_gdp, glob_eco_act]",0.024,0.099,-0.17,0.201,0.002,0.003,3953.0,1193.0,1.0
"lag_coefs[-1, india_gdp, usdinr]",-0.065,0.091,-0.24,0.099,0.001,0.002,4145.0,1358.0,1.0
"lag_coefs[-1, india_gdp, usdyen]",-0.024,0.084,-0.179,0.129,0.002,0.002,3037.0,1955.0,1.0
"lag_coefs[-1, india_gdp, usdyuan]",0.018,0.103,-0.174,0.211,0.002,0.003,3577.0,1195.0,1.0
"lag_coefs[-1, india_gdp, wui]",0.027,0.019,-0.011,0.06,0.0,0.0,3438.0,1503.0,1.0
"lag_coefs[-1, india_gdp, china_gdp]",-0.006,0.06,-0.116,0.105,0.001,0.001,2202.0,1595.0,1.0
"lag_coefs[-1, india_gdp, india_gdp]",0.081,0.085,-0.077,0.238,0.001,0.001,3640.0,1427.0,1.0
"lag_coefs[-1, india_gdp, japan_gdp]",0.002,0.081,-0.146,0.15,0.001,0.002,3721.0,1760.0,1.0
"lag_coefs[-1, japan_gdp, World_oil_prod]",-0.006,0.096,-0.179,0.178,0.001,0.003,4598.0,1343.0,1.0
"lag_coefs[-1, japan_gdp, Real_price_oil]",0.03,0.042,-0.049,0.108,0.001,0.001,4430.0,1271.0,1.0
"lag_coefs[-1, japan_gdp, glob_eco_act]",-0.005,0.098,-0.186,0.169,0.002,0.002,4068.0,1535.0,1.0
"lag_coefs[-1, japan_gdp, usdinr]",-0.04,0.095,-0.213,0.15,0.001,0.002,4589.0,1223.0,1.0
"lag_coefs[-1, japan_gdp, usdyen]",-0.009,0.088,-0.168,0.158,0.001,0.002,3540.0,1383.0,1.0
"lag_coefs[-1, japan_gdp, usdyuan]",0.006,0.101,-0.196,0.184,0.001,0.003,4671.0,1303.0,1.0
"lag_coefs[-1, japan_gdp, wui]",-0.025,0.023,-0.066,0.022,0.0,0.0,3875.0,1581.0,1.0
"lag_coefs[-1, japan_gdp, china_gdp]",0.007,0.064,-0.114,0.125,0.001,0.001,2804.0,1725.0,1.0
"lag_coefs[-1, japan_gdp, india_gdp]",-0.004,0.088,-0.153,0.175,0.001,0.002,4108.0,1259.0,1.0
"lag_coefs[-1, japan_gdp, japan_gdp]",0.015,0.088,-0.148,0.172,0.001,0.002,5079.0,1275.0,1.0
"lag_coefs[-2, World_oil_prod, World_oil_prod]",0.008,0.081,-0.128,0.171,0.001,0.002,3690.0,1541.0,1.0
"lag_coefs[-2, World_oil_prod, Real_price_oil]",-0.01,0.015,-0.04,0.018,0.0,0.0,2468.0,1543.0,1.0
"lag_coefs[-2, World_oil_prod, glob_eco_act]",0.046,0.095,-0.138,0.215,0.001,0.002,4241.0,1386.0,1.0
"lag_coefs[-2, World_oil_prod, usdinr]",0.0,0.073,-0.134,0.141,0.001,0.002,3076.0,1722.0,1.0
"lag_coefs[-2, World_oil_prod, usdyen]",0.045,0.071,-0.087,0.178,0.001,0.001,3261.0,1553.0,1.0
"lag_coefs[-2, World_oil_prod, usdyuan]",-0.031,0.093,-0.192,0.158,0.002,0.002,3383.0,1497.0,1.0
"lag_coefs[-2, World_oil_prod, wui]",0.02,0.008,0.006,0.034,0.0,0.0,3713.0,1867.0,1.0
"lag_coefs[-2, World_oil_prod, china_gdp]",0.026,0.039,-0.041,0.104,0.001,0.001,1303.0,1071.0,1.0
"lag_coefs[-2, World_oil_prod, india_gdp]",0.047,0.066,-0.074,0.171,0.001,0.001,2967.0,1900.0,1.0
"lag_coefs[-2, World_oil_prod, japan_gdp]",0.052,0.066,-0.071,0.174,0.001,0.001,2950.0,1773.0,1.0
"lag_coefs[-2, Real_price_oil, World_oil_prod]",-0.003,0.097,-0.189,0.173,0.001,0.002,4644.0,1471.0,1.0
"lag_coefs[-2, Real_price_oil, Real_price_oil]",-0.066,0.083,-0.223,0.08,0.001,0.002,4558.0,1488.0,1.0
"lag_coefs[-2, Real_price_oil, glob_eco_act]",0.002,0.097,-0.18,0.186,0.001,0.002,4275.0,1220.0,1.0
"lag_coefs[-2, Real_price_oil, usdinr]",-0.02,0.097,-0.186,0.168,0.001,0.002,5072.0,1006.0,1.0
"lag_coefs[-2, Real_price_oil, usdyen]",-0.02,0.097,-0.201,0.163,0.001,0.002,4241.0,1505.0,1.0
