,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"lag_coefs[-2, Real_price_oil, glob_eco_act]",-0.001,0.101,-0.181,0.195,0.002,0.003,4362.0,1375.0,1.01
"lag_coefs[-2, Real_price_oil, usdyen]",-0.02,0.097,-0.209,0.16,0.001,0.002,4657.0,1345.0,1.0
"lag_coefs[-2, Real_price_oil, wui]",-0.023,0.064,-0.14,0.099,0.001,0.002,4330.0,1393.0,1.0
"lag_coefs[-2, Real_price_oil, japan_gdp]",0.017,0.098,-0.146,0.216,0.001,0.003,5639.0,1178.0,1.0
"lag_coefs[-2, glob_eco_act, World_oil_prod]",-0.02,0.076,-0.154,0.119,0.001,0.002,3493.0,1548.0,1.0
"lag_coefs[-2, glob_eco_act, Real_price_oil]",-0.006,0.01,-0.024,0.015,0.0,0.0,3277.0,1539.0,1.0
"lag_coefs[-2, glob_eco_act, glob_eco_act]",0.102,0.089,-0.066,0.271,0.002,0.002,3451.0,1194.0,1.0
"lag_coefs[-2, glob_eco_act, usdyen]",-0.019,0.068,-0.147,0.109,0.001,0.001,2475.0,1644.0,1.0
"lag_coefs[-2, glob_eco_act, wui]",0.002,0.005,-0.008,0.012,0.0,0.0,3236.0,1633.0,1.0
"lag_coefs[-2, glob_eco_act, japan_gdp]",-0.019,0.06,-0.141,0.083,0.001,0.001,2173.0,1482.0,1.0
"lag_coefs[-2, usdyen, World_oil_prod]",-0.034,0.098,-0.214,0.159,0.002,0.002,3868.0,1409.0,1.0
"lag_coefs[-2, usdyen, Real_price_oil]",0.016,0.033,-0.044,0.079,0.001,0.001,2766.0,1434.0,1.0
"lag_coefs[-2, usdyen, glob_eco_act]",0.029,0.097,-0.152,0.213,0.002,0.002,3965.0,1276.0,1.0
"lag_coefs[-2, usdyen, usdyen]",-0.034,0.088,-0.196,0.132,0.001,0.002,3474.0,1661.0,1.0
"lag_coefs[-2, usdyen, wui]",-0.007,0.019,-0.044,0.025,0.0,0.0,2677.0,1728.0,1.0
"lag_coefs[-2, usdyen, japan_gdp]",0.044,0.085,-0.13,0.192,0.002,0.002,2912.0,1410.0,1.0
"lag_coefs[-2, wui, World_oil_prod]",-0.004,0.099,-0.2,0.172,0.002,0.003,3934.0,1378.0,1.0
"lag_coefs[-2, wui, Real_price_oil]",0.014,0.094,-0.167,0.187,0.001,0.002,4576.0,1138.0,1.01
"lag_coefs[-2, wui, glob_eco_act]",0.002,0.103,-0.191,0.195,0.002,0.003,3719.0,1090.0,1.0
"lag_coefs[-2, wui, usdyen]",0.001,0.096,-0.185,0.174,0.001,0.003,5077.0,1249.0,1.0
"lag_coefs[-2, wui, wui]",-0.041,0.08,-0.184,0.115,0.001,0.002,4245.0,1771.0,1.0
"lag_coefs[-2, wui, japan_gdp]",0.006,0.102,-0.19,0.199,0.002,0.003,4233.0,1438.0,1.0
"lag_coefs[-2, japan_gdp, World_oil_prod]",0.032,0.1,-0.158,0.212,0.002,0.002,4374.0,1475.0,1.0
"lag_coefs[-2, japan_gdp, Real_price_oil]",-0.051,0.039,-0.127,0.02,0.001,0.001,2789.0,1466.0,1.0
"lag_coefs[-2, japan_gdp, glob_eco_act]",-0.013,0.096,-0.196,0.161,0.001,0.003,4296.0,1440.0,1.0
"lag_coefs[-2, japan_gdp, usdyen]",0.016,0.088,-0.144,0.181,0.001,0.002,3695.0,1406.0,1.0
"lag_coefs[-2, japan_gdp, wui]",0.007,0.022,-0.034,0.05,0.0,0.0,2844.0,1868.0,1.0
"lag_coefs[-2, japan_gdp, japan_gdp]",-0.017,0.084,-0.165,0.151,0.001,0.002,3998.0,1563.0,1.0
"lag_coefs[-3, World_oil_prod, World_oil_prod]",0.046,0.076,-0.094,0.188,0.001,0.001,4290.0,1562.0,1.0
"lag_coefs[-3, World_oil_prod, Real_price_oil]",0.002,0.012,-0.021,0.024,0.0,0.0,2561.0,1587.0,1.0
"lag_coefs[-3, World_oil_prod, glob_eco_act]",0.007,0.088,-0.164,0.165,0.001,0.002,3804.0,1651.0,1.0
"lag_coefs[-3, World_oil_prod, usdyen]",-0.025,0.071,-0.151,0.115,0.001,0.002,2920.0,1425.0,1.0
"lag_coefs[-3, World_oil_prod, wui]",-0.003,0.007,-0.016,0.01,0.0,0.0,2245.0,1546.0,1.0
"lag_coefs[-3, World_oil_prod, japan_gdp]",0.002,0.06,-0.124,0.1,0.001,0.001,2662.0,1614.0,1.0
"lag_coefs[-3, Real_price_oil, World_oil_prod]",-0.005,0.103,-0.206,0.189,0.002,0.003,4575.0,1153.0,1.0
"lag_coefs[-3, Real_price_oil, Real_price_oil]",-0.043,0.079,-0.185,0.104,0.001,0.002,4176.0,1188.0,1.0
"lag_coefs[-3, Real_price_oil, glob_eco_act]",-0.006,0.098,-0.196,0.175,0.001,0.002,4512.0,1477.0,1.0
"lag_coefs[-3, Real_price_oil, usdyen]",-0.001,0.095,-0.174,0.178,0.001,0.002,4863.0,1483.0,1.0
"lag_coefs[-3, Real_price_oil, wui]",0.007,0.066,-0.113,0.134,0.001,0.002,4771.0,1303.0,1.0
"lag_coefs[-3, Real_price_oil, japan_gdp]",0.009,0.1,-0.175,0.186,0.001,0.003,5654.0,1496.0,1.0
"lag_coefs[-3, glob_eco_act, World_oil_prod]",-0.004,0.073,-0.145,0.132,0.001,0.002,4814.0,1160.0,1.0
"lag_coefs[-3, glob_eco_act, Real_price_oil]",-0.003,0.011,-0.023,0.017,0.0,0.0,2995.0,1398.0,1.0
"lag_coefs[-3, glob_eco_act, glob_eco_act]",0.004,0.095,-0.17,0.19,0.002,0.002,3780.0,1555.0,1.0
"lag_coefs[-3, glob_eco_act, usdyen]",0.061,0.062,-0.057,0.175,0.001,0.001,2337.0,1694.0,1.0
"lag_coefs[-3, glob_eco_act, wui]",0.0,0.006,-0.01,0.011,0.0,0.0,3198.0,1664.0,1.0
"lag_coefs[-3, glob_eco_act, japan_gdp]",0.009,0.056,-0.101,0.111,0.001,0.001,2169.0,1682.0,1.0
"lag_coefs[-3, usdyen, World_oil_prod]",-0.011,0.093,-0.183,0.166,0.001,0.003,4887.0,1427.0,1.0
"lag_coefs[-3, usdyen, Real_price_oil]",-0.015,0.033,-0.078,0.043,0.001,0.001,3381.0,1692.0,1.0
"lag_coefs[-3, usdyen, glob_eco_act]",0.014,0.099,-0.164,0.194,0.001,0.002,5670.0,1659.0,1.0
"lag_coefs[-3, usdyen, usdyen]",0.045,0.089,-0.128,0.206,0.002,0.002,3151.0,1562.0,1.0
"lag_coefs[-3, usdyen, wui]",0.001,0.019,-0.034,0.038,0.0,0.0,3258.0,1568.0,1.0
"lag_coefs[-3, usdyen, japan_gdp]",-0.018,0.082,-0.171,0.138,0.002,0.002,2787.0,1547.0,1.0
"lag_coefs[-3, wui, World_oil_prod]",0.0,0.103,-0.193,0.187,0.001,0.003,4855.0,1461.0,1.0
"lag_coefs[-3, wui, Real_price_oil]",0.011,0.093,-0.158,0.191,0.001,0.003,4521.0,1300.0,1.0
"lag_coefs[-3, wui, glob_eco_act]",-0.005,0.103,-0.191,0.192,0.001,0.003,4731.0,1413.0,1.0
"lag_coefs[-3, wui, usdyen]",-0.003,0.1,-0.179,0.184,0.001,0.003,5344.0,1501.0,1.0
"lag_coefs[-3, wui, wui]",-0.026,0.083,-0.183,0.127,0.001,0.002,3972.0,1487.0,1.0
"lag_coefs[-3, wui, japan_gdp]",0.005,0.104,-0.185,0.194,0.001,0.003,6195.0,1262.0,1.0
"lag_coefs[-3, japan_gdp, World_oil_prod]",0.01,0.1,-0.175,0.203,0.002,0.003,4344.0,1319.0,1.0
"lag_coefs[-3, japan_gdp, Real_price_oil]",0.029,0.038,-0.044,0.099,0.001,0.001,3566.0,1663.0,1.0
"lag_coefs[-3, japan_gdp, glob_eco_act]",-0.015,0.101,-0.216,0.169,0.002,0.003,3951.0,1294.0,1.0
"lag_coefs[-3, japan_gdp, usdyen]",-0.04,0.091,-0.204,0.133,0.002,0.002,3457.0,1675.0,1.0
"lag_coefs[-3, japan_gdp, wui]",0.001,0.024,-0.042,0.046,0.0,0.001,3883.0,1785.0,1.0
"lag_coefs[-3, japan_gdp, japan_gdp]",0.023,0.091,-0.144,0.19,0.002,0.002,3330.0,1608.0,1.0
"lag_coefs[-4, World_oil_prod, World_oil_prod]",0.004,0.083,-0.153,0.154,0.001,0.002,4620.0,1241.0,1.0
"lag_coefs[-4, World_oil_prod, Real_price_oil]",-0.011,0.013,-0.037,0.012,0.0,0.0,2972.0,1439.0,1.0
"lag_coefs[-4, World_oil_prod, glob_eco_act]",0.092,0.091,-0.071,0.264,0.002,0.001,3589.0,1442.0,1.0
"lag_coefs[-4, World_oil_prod, usdyen]",0.019,0.062,-0.099,0.128,0.001,0.001,3243.0,1309.0,1.0
"lag_coefs[-4, World_oil_prod, wui]",0.0,0.006,-0.012,0.012,0.0,0.0,2795.0,1616.0,1.0
"lag_coefs[-4, World_oil_prod, japan_gdp]",-0.037,0.061,-0.152,0.076,0.001,0.001,2775.0,1501.0,1.0
"lag_coefs[-4, Real_price_oil, World_oil_prod]",0.004,0.101,-0.176,0.19,0.001,0.003,4749.0,1295.0,1.0
"lag_coefs[-4, Real_price_oil, Real_price_oil]",0.038,0.078,-0.118,0.178,0.001,0.002,4626.0,1160.0,1.01
"lag_coefs[-4, Real_price_oil, glob_eco_act]",-0.005,0.098,-0.191,0.172,0.001,0.003,4425.0,1382.0,1.0
"lag_coefs[-4, Real_price_oil, usdyen]",0.001,0.093,-0.174,0.173,0.001,0.002,5140.0,1329.0,1.0
"lag_coefs[-4, Real_price_oil, wui]",0.034,0.06,-0.069,0.155,0.001,0.001,4881.0,1402.0,1.0
"lag_coefs[-4, Real_price_oil, japan_gdp]",-0.001,0.101,-0.186,0.186,0.002,0.003,3713.0,1054.0,1.0
"lag_coefs[-4, glob_eco_act, World_oil_prod]",0.001,0.075,-0.147,0.133,0.001,0.002,3948.0,1362.0,1.0
"lag_coefs[-4, glob_eco_act, Real_price_oil]",-0.008,0.01,-0.028,0.01,0.0,0.0,3815.0,1522.0,1.0
"lag_coefs[-4, glob_eco_act, glob_eco_act]",-0.073,0.08,-0.218,0.081,0.001,0.001,4688.0,1704.0,1.0
