,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"lag_coefs[-1, wui, Real_price_oil]",-0.031,0.096,-0.215,0.143,0.001,0.003,5187.0,1350.0,1.0
"lag_coefs[-1, wui, glob_eco_act]",-0.001,0.098,-0.199,0.179,0.001,0.003,4496.0,1133.0,1.0
"lag_coefs[-1, wui, usdinr]",0.002,0.095,-0.19,0.164,0.001,0.002,4201.0,1384.0,1.0
"lag_coefs[-1, wui, usdyen]",-0.012,0.102,-0.202,0.172,0.001,0.003,4787.0,1408.0,1.0
"lag_coefs[-1, wui, usdyuan]",-0.0,0.098,-0.172,0.193,0.001,0.003,4735.0,1452.0,1.0
"lag_coefs[-1, wui, wui]",-0.102,0.084,-0.253,0.064,0.001,0.001,3924.0,1182.0,1.0
"lag_coefs[-2, World_oil_prod, World_oil_prod]",-0.024,0.083,-0.171,0.135,0.001,0.002,3752.0,1582.0,1.0
"lag_coefs[-2, World_oil_prod, Real_price_oil]",-0.008,0.014,-0.033,0.017,0.0,0.0,3161.0,1366.0,1.0
"lag_coefs[-2, World_oil_prod, glob_eco_act]",0.044,0.092,-0.13,0.208,0.002,0.002,3572.0,1696.0,1.0
"lag_coefs[-2, World_oil_prod, usdinr]",-0.01,0.055,-0.114,0.092,0.001,0.001,4011.0,1302.0,1.0
"lag_coefs[-2, World_oil_prod, usdyen]",-0.017,0.051,-0.114,0.078,0.001,0.001,3159.0,1694.0,1.0
"lag_coefs[-2, World_oil_prod, usdyuan]",-0.038,0.09,-0.202,0.14,0.001,0.002,3876.0,1634.0,1.0
"lag_coefs[-2, World_oil_prod, wui]",0.02,0.007,0.006,0.033,0.0,0.0,3031.0,1314.0,1.0
"lag_coefs[-2, Real_price_oil, World_oil_prod]",-0.004,0.103,-0.208,0.173,0.002,0.003,4338.0,1226.0,1.0
"lag_coefs[-2, Real_price_oil, Real_price_oil]",-0.07,0.082,-0.226,0.078,0.001,0.002,4531.0,1411.0,1.0
"lag_coefs[-2, Real_price_oil, glob_eco_act]",0.003,0.098,-0.173,0.193,0.002,0.003,3970.0,1499.0,1.0
