,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"lag_coefs[-2, Real_price_oil, glob_eco_act]",-0.0,0.095,-0.169,0.18,0.002,0.002,2787.0,1507.0,1.0
"lag_coefs[-2, Real_price_oil, usdyuan]",0.004,0.097,-0.179,0.175,0.002,0.002,2491.0,1359.0,1.0
"lag_coefs[-2, Real_price_oil, wui]",-0.022,0.062,-0.147,0.087,0.001,0.001,2230.0,1581.0,1.0
"lag_coefs[-2, Real_price_oil, china_gdp]",-0.001,0.092,-0.183,0.161,0.002,0.002,2781.0,1500.0,1.0
"lag_coefs[-2, glob_eco_act, World_oil_prod]",0.01,0.079,-0.136,0.153,0.002,0.002,2611.0,1283.0,1.0
"lag_coefs[-2, glob_eco_act, Real_price_oil]",-0.005,0.011,-0.024,0.017,0.0,0.0,1126.0,1282.0,1.0
"lag_coefs[-2, glob_eco_act, glob_eco_act]",0.111,0.089,-0.06,0.273,0.002,0.001,2062.0,1536.0,1.0
"lag_coefs[-2, glob_eco_act, usdyuan]",0.08,0.09,-0.081,0.257,0.002,0.002,2153.0,1464.0,1.0
"lag_coefs[-2, glob_eco_act, wui]",0.0,0.005,-0.009,0.011,0.0,0.0,1781.0,1568.0,1.0
"lag_coefs[-2, glob_eco_act, china_gdp]",-0.009,0.033,-0.069,0.053,0.002,0.001,470.0,694.0,1.0
"lag_coefs[-2, usdyuan, World_oil_prod]",0.017,0.071,-0.117,0.147,0.002,0.001,2035.0,1356.0,1.0
"lag_coefs[-2, usdyuan, Real_price_oil]",-0.004,0.01,-0.022,0.015,0.0,0.0,1268.0,1438.0,1.0
"lag_coefs[-2, usdyuan, glob_eco_act]",-0.013,0.083,-0.159,0.147,0.002,0.002,2059.0,1674.0,1.0
"lag_coefs[-2, usdyuan, usdyuan]",-0.004,0.089,-0.181,0.149,0.002,0.002,1877.0,1294.0,1.0
"lag_coefs[-2, usdyuan, wui]",-0.003,0.004,-0.011,0.005,0.0,0.0,1778.0,1426.0,1.0
"lag_coefs[-2, usdyuan, china_gdp]",-0.083,0.03,-0.14,-0.027,0.001,0.001,497.0,747.0,1.0
"lag_coefs[-2, wui, World_oil_prod]",-0.005,0.1,-0.189,0.178,0.002,0.002,3115.0,1543.0,1.0
"lag_coefs[-2, wui, Real_price_oil]",0.012,0.089,-0.162,0.18,0.002,0.002,2038.0,1508.0,1.0
"lag_coefs[-2, wui, glob_eco_act]",0.003,0.098,-0.171,0.204,0.002,0.002,3329.0,1423.0,1.0
"lag_coefs[-2, wui, usdyuan]",0.002,0.099,-0.183,0.176,0.002,0.002,3259.0,1481.0,1.0
